onset	 pairType	 fsStimID_probe	 objStimID_cue	 cond	 duration	 answer	 resp	 RT	 isCorrect	subject	run
1.5	2	10	28	3	16.5	1	1	11611	1	30004	1
21.0	2	4	36	4	16.5	0	2	11524	1	30004	1
40.5	1	1	15	2	16.5	0	2	11341	1	30004	1
61.5	2	17	34	3	16.5	1	1	11440	1	30004	1
79.5	2	1	29	3	16.5	1	1	11442	1	30004	1
100.5	1	3	8	2	16.5	0	2	11186	1	30004	1
120.0	2	18	18	4	16.5	0	2	11369	1	30004	1
141.0	2	5	9	4	16.5	0	2	11332	1	30004	1
159.0	2	3	1	4	16.5	0	2	11247	1	30004	1
180.0	1	10	12	1	16.5	1	1	11222	1	30004	1
198.0	1	15	5	1	16.5	1	1	11158	1	30004	1
216.0	2	6	13	4	16.5	0	2	11284	1	30004	1
1.5	1	6	33	1	16.5	1	 1	 11086	1	30004	2
21.0	1	4	2	2	16.5	0	 2	 11312	1	30004	2
42.0	1	12	32	2	16.5	0	 2	 11367	1	30004	2
61.5	2	7	10	3	16.5	1	 NaN	 NaN	0	30004	2
79.5	1	8	11	2	16.5	0	 2	 11284	1	30004	2
100.5	1	11	16	1	16.5	1	 1	 11060	1	30004	2
121.5	2	2	19	3	16.5	1	 1	 11188	1	30004	2
139.5	2	12	20	3	16.5	1	 1	 11173	1	30004	2
160.5	1	17	31	1	16.5	1	 1	 11335	1	30004	2
178.5	1	18	35	2	16.5	0	 2	 11331	1	30004	2
198.0	1	9	6	1	16.5	1	 1	 11190	1	30004	2
216.0	1	7	30	1	16.5	1	 1	 11409	1	30004	2
1.5	2	9	27	4	16.5	0	2	11289	1	30004	3
19.5	2	14	4	4	16.5	0	2	11398	1	30004	3
37.5	2	16	17	3	16.5	1	1	11375	1	30004	3
58.5	2	15	7	3	16.5	1	1	11322	1	30004	3
76.5	2	8	26	4	16.5	0	2	11746	1	30004	3
97.5	2	11	25	3	16.5	1	1	11326	1	30004	3
118.5	1	13	23	1	16.5	1	1	11138	1	30004	3
138.0	2	13	3	4	16.5	0	2	11313	1	30004	3
157.5	1	16	14	2	16.5	0	2	11162	1	30004	3
177.0	1	14	24	1	16.5	1	1	11203	1	30004	3
196.5	1	2	22	2	16.5	0	2	11236	1	30004	3
217.5	1	5	21	2	16.5	0	2	11076	1	30004	3
1.5	2	16	20	4	16.5	0	1	11452	0	30008	1
19.5	1	1	28	1	16.5	1	1	11650	1	30008	1
37.5	1	2	6	1	16.5	1	1	11577	1	30008	1
55.5	1	6	4	1	16.5	1	1	11436	1	30008	1
75.0	2	4	16	3	16.5	1	1	11365	1	30008	1
94.5	2	11	26	3	16.5	1	1	11424	1	30008	1
115.5	1	7	21	2	16.5	0	2	11486	1	30008	1
133.5	1	5	10	2	16.5	0	2	11414	1	30008	1
154.5	1	11	1	1	16.5	1	1	11969	1	30008	1
174.0	2	18	19	3	16.5	1	1	11644	1	30008	1
193.5	2	17	5	4	16.5	0	2	11420	1	30008	1
214.5	2	6	34	4	16.5	0	2	11382	1	30008	1
1.5	2	10	3	3	16.5	1	1	11647	1	30008	2
21.0	1	4	17	2	16.5	0	2	11399	1	30008	2
42.0	2	13	13	3	16.5	1	1	11285	1	30008	2
63.0	1	14	25	2	16.5	0	2	11267	1	30008	2
82.5	2	12	7	4	16.5	0	2	11350	1	30008	2
100.5	1	13	22	1	16.5	1	1	11338	1	30008	2
118.5	2	5	8	3	16.5	1	1	11406	1	30008	2
136.5	2	3	9	4	16.5	0	2	11406	1	30008	2
157.5	1	3	24	1	16.5	1	1	11472	1	30008	2
178.5	1	8	2	1	16.5	1	1	11256	1	30008	2
196.5	2	1	18	4	16.5	0	2	12086	1	30008	2
216.0	1	10	29	2	16.5	0	2	11421	1	30008	2
1.5	1	15	23	2	16.5	0	2	11724	1	30008	3
22.5	1	17	30	2	16.5	0	2	11212	1	30008	3
42.0	2	8	32	4	16.5	0	2	11247	1	30008	3
60.0	1	16	33	2	16.5	0	2	11538	1	30008	3
81.0	2	2	35	4	16.5	0	2	11503	1	30008	3
100.5	2	9	12	4	16.5	0	2	11077	1	30008	3
120.0	1	12	11	2	16.5	0	2	11667	1	30008	3
138.0	2	14	31	3	16.5	1	1	11616	1	30008	3
157.5	2	7	36	3	16.5	1	1	11585	1	30008	3
175.5	1	18	15	1	16.5	1	1	11311	1	30008	3
193.5	1	9	14	1	16.5	1	1	11576	1	30008	3
214.5	2	15	27	3	16.5	1	2	12559	0	30008	3
1.5	2	8	7	3	16.5	1	1	11135	1	30009	1
21.0	2	16	28	4	16.5	0	2	11361	1	30009	1
40.5	1	2	11	1	16.5	1	1	11386	1	30009	1
58.5	1	10	22	1	16.5	1	1	11277	1	30009	1
78.0	2	15	21	4	16.5	0	2	11250	1	30009	1
99.0	2	11	23	4	16.5	0	2	11264	1	30009	1
118.5	2	9	25	3	16.5	1	1	11397	1	30009	1
139.5	1	15	35	2	16.5	0	2	11212	1	30009	1
157.5	2	14	32	4	16.5	0	2	11608	1	30009	1
175.5	2	5	18	3	16.5	1	1	12014	1	30009	1
193.5	2	13	17	4	16.5	0	2	11645	1	30009	1
214.5	2	3	16	3	16.5	1	1	13252	1	30009	1
1.5	2	18	15	4	16.5	0	2	11571	1	30009	2
19.5	1	9	19	1	16.5	1	1	11060	1	30009	2
39.0	1	5	27	1	16.5	1	1	11136	1	30009	2
57.0	1	11	8	1	16.5	1	1	11214	1	30009	2
78.0	2	6	10	3	16.5	1	1	11254	1	30009	2
96.0	2	7	1	4	16.5	0	2	11301	1	30009	2
115.5	1	8	26	2	16.5	0	2	11300	1	30009	2
135.0	2	17	3	3	16.5	1	1	11060	1	30009	2
156.0	1	1	14	2	16.5	0	2	11313	1	30009	2
177.0	1	13	34	2	16.5	0	2	11351	1	30009	2
196.5	1	16	2	1	16.5	1	1	11140	1	30009	2
214.5	1	12	29	2	16.5	0	2	11421	1	30009	2
1.5	2	4	33	3	16.5	1	1	11176	1	30009	3
21.0	1	3	36	2	16.5	0	2	11402	1	30009	3
42.0	2	2	20	3	16.5	1	1	11432	1	30009	3
61.5	2	10	5	3	16.5	1	1	11441	1	30009	3
79.5	2	1	6	4	16.5	0	2	11506	1	30009	3
100.5	1	18	30	1	16.5	1	1	11001	1	30009	3
118.5	1	4	31	2	16.5	0	2	11392	1	30009	3
138.0	2	12	12	4	16.5	0	1	12520	0	30009	3
156.0	1	7	4	2	16.5	0	2	11157	1	30009	3
175.5	1	17	13	2	16.5	0	2	11295	1	30009	3
196.5	1	6	24	1	16.5	1	1	11191	1	30009	3
214.5	1	14	9	1	16.5	1	1	11157	1	30009	3
1.5	2	4	6	3	16.5	1	1	11515	1	30012	1
21.0	2	17	2	3	16.5	1	1	11208	1	30012	1
40.5	2	18	16	4	16.5	0	2	11346	1	30012	1
58.5	2	9	1	3	16.5	1	2	11876	0	30012	1
76.5	2	5	21	3	16.5	1	1	11099	1	30012	1
97.5	2	3	18	4	16.5	0	2	11463	1	30012	1
118.5	2	7	30	4	16.5	0	2	11296	1	30012	1
138.0	1	15	5	2	16.5	0	2	11457	1	30012	1
159.0	2	13	27	4	16.5	0	1	12018	0	30012	1
178.5	2	8	10	3	16.5	1	1	11129	1	30012	1
199.5	1	6	22	2	16.5	0	2	11926	1	30012	1
217.5	1	18	25	1	16.5	1	1	11526	1	30012	1
1.5	2	6	17	4	16.5	0	 NaN	 NaN	0	30012	2
19.5	2	11	28	3	16.5	1	 1	 12918	1	30012	2
39.0	2	10	3	3	16.5	1	 NaN	 NaN	0	30012	2
60.0	2	15	9	4	16.5	0	 NaN	 NaN	0	30012	2
81.0	1	5	8	1	16.5	1	 NaN	 NaN	0	30012	2
100.5	1	9	15	1	16.5	1	 1	 11315	1	30012	2
121.5	1	12	12	1	16.5	1	 1	 11267	1	30012	2
139.5	1	13	35	1	16.5	1	 1	 11527	1	30012	2
159.0	1	3	24	1	16.5	1	 1	 11035	1	30012	2
177.0	1	10	13	2	16.5	0	 2	 11230	1	30012	2
196.5	1	14	20	2	16.5	0	 2	 11368	1	30012	2
214.5	2	2	32	3	16.5	1	 1	 11264	1	30012	2
1.5	1	16	34	2	16.5	0	2	11303	1	30012	3
22.5	1	7	11	1	16.5	1	1	11836	1	30012	3
43.5	2	12	23	4	16.5	0	2	11485	1	30012	3
63.0	2	14	19	4	16.5	0	2	11544	1	30012	3
82.5	1	8	29	1	16.5	1	1	11786	1	30012	3
100.5	1	17	26	2	16.5	0	2	11504	1	30012	3
121.5	1	4	36	2	16.5	0	2	11247	1	30012	3
139.5	2	1	14	4	16.5	0	1	11987	0	30012	3
159.0	1	11	31	2	16.5	0	2	11513	1	30012	3
177.0	1	2	33	2	16.5	0	2	11868	1	30012	3
195.0	1	1	4	1	16.5	1	1	12162	1	30012	3
214.5	2	16	7	3	16.5	1	1	11451	1	30012	3
1.5	2	1	25	4	16.5	0	2	12830	1	30015	1
19.5	1	2	35	1	16.5	1	1	11093	1	30015	1
40.5	1	1	5	2	16.5	0	2	11419	1	30015	1
60.0	1	15	28	2	16.5	0	2	11124	1	30015	1
79.5	1	14	14	1	16.5	1	1	11272	1	30015	1
99.0	2	8	26	4	16.5	0	2	11494	1	30015	1
117.0	1	7	27	2	16.5	0	1	12417	0	30015	1
135.0	1	10	1	2	16.5	0	2	11261	1	30015	1
154.5	2	4	19	3	16.5	1	1	12474	1	30015	1
172.5	2	3	32	4	16.5	0	2	11468	1	30015	1
193.5	1	6	23	1	16.5	1	1	11620	1	30015	1
214.5	2	10	22	3	16.5	1	1	11231	1	30015	1
1.5	1	9	21	2	16.5	0	1	13128	0	30015	2
19.5	1	4	24	2	16.5	0	1	12182	0	30015	2
39.0	2	14	4	3	16.5	1	1	11761	1	30015	2
57.0	1	16	30	1	16.5	1	1	10984	1	30015	2
78.0	2	5	20	4	16.5	0	2	12776	1	30015	2
97.5	1	3	6	1	16.5	1	1	11187	1	30015	2
117.0	2	17	12	4	16.5	0	2	11758	1	30015	2
136.5	2	6	33	3	16.5	1	1	11203	1	30015	2
157.5	2	15	10	3	16.5	1	1	11412	1	30015	2
175.5	1	12	11	1	16.5	1	1	11118	1	30015	2
196.5	2	7	18	3	16.5	1	1	11290	1	30015	2
214.5	2	18	31	4	16.5	0	2	12335	1	30015	2
1.5	2	11	9	3	16.5	1	 1	 11251	1	30015	3
21.0	1	13	29	2	16.5	0	 2	 13285	1	30015	3
39.0	1	17	3	2	16.5	0	 2	 12092	1	30015	3
60.0	1	5	17	1	16.5	1	 1	 11163	1	30015	3
81.0	2	9	36	4	16.5	0	 2	 11388	1	30015	3
100.5	2	2	13	4	16.5	0	 NaN	 NaN	0	30015	3
120.0	2	13	34	3	16.5	1	 1	 11290	1	30015	3
141.0	2	16	16	3	16.5	1	 1	 12029	1	30015	3
159.0	2	12	8	4	16.5	0	 2	 11522	1	30015	3
177.0	1	11	15	1	16.5	1	 1	 11401	1	30015	3
198.0	1	18	2	1	16.5	1	 1	 11231	1	30015	3
216.0	1	8	7	2	16.5	0	 2	 11704	1	30015	3
1.5	1	1	16	1	16.5	1	1	11219	1	30019	1
19.5	2	7	20	3	16.5	1	1	11966	1	30019	1
40.5	1	14	2	1	16.5	1	1	11179	1	30019	1
58.5	1	6	21	1	16.5	1	1	11220	1	30019	1
79.5	1	4	30	2	16.5	0	2	11322	1	30019	1
97.5	1	13	18	1	16.5	1	1	11359	1	30019	1
117.0	2	10	10	3	16.5	1	1	11907	1	30019	1
135.0	2	2	9	3	16.5	1	1	11347	1	30019	1
154.5	2	17	6	4	16.5	0	2	11327	1	30019	1
175.5	2	14	14	3	16.5	1	1	11148	1	30019	1
195.0	1	5	34	1	16.5	1	1	11136	1	30019	1
214.5	2	13	4	3	16.5	1	2	11241	0	30019	1
1.5	2	4	13	4	16.5	0	 2	 11412	1	30019	2
22.5	2	8	15	4	16.5	0	 2	 11611	1	30019	2
40.5	1	16	5	2	16.5	0	 2	 11387	1	30019	2
61.5	1	9	36	2	16.5	0	 2	 11488	1	30019	2
79.5	2	9	26	4	16.5	0	 NaN	 NaN	0	30019	2
100.5	1	3	29	1	16.5	1	 1	 11371	1	30019	2
120.0	2	11	24	3	16.5	1	 1	 11337	1	30019	2
138.0	2	6	22	4	16.5	0	 2	 11521	1	30019	2
156.0	2	15	23	3	16.5	1	 1	 11512	1	30019	2
175.5	2	16	35	4	16.5	0	 2	 12206	1	30019	2
195.0	1	7	11	2	16.5	0	 2	 11641	1	30019	2
216.0	1	15	17	2	16.5	0	 2	 11420	1	30019	2
1.5	1	2	1	1	16.5	1	1	11164	1	30019	3
21.0	1	18	25	2	16.5	0	2	11585	1	30019	3
39.0	2	1	32	4	16.5	0	2	12249	1	30019	3
60.0	2	5	31	3	16.5	1	1	11387	1	30019	3
79.5	1	10	7	2	16.5	0	2	11483	1	30019	3
100.5	2	3	27	3	16.5	1	1	11155	1	30019	3
121.5	1	17	3	1	16.5	1	1	11164	1	30019	3
139.5	1	12	8	1	16.5	1	1	11333	1	30019	3
159.0	2	12	19	4	16.5	0	2	11952	1	30019	3
178.5	1	11	33	2	16.5	0	2	11601	1	30019	3
196.5	2	18	28	4	16.5	0	2	11569	1	30019	3
214.5	1	8	12	2	16.5	0	2	11355	1	30019	3
1.5	2	4	26	3	16.5	1	 1	 11281	1	30020	1
21.0	1	4	3	2	16.5	0	 2	 11664	1	30020	1
40.5	2	17	4	3	16.5	1	 1	 11334	1	30020	1
61.5	2	3	8	4	16.5	0	 2	 11617	1	30020	1
79.5	1	8	12	1	16.5	1	 1	 11651	1	30020	1
97.5	1	10	13	1	16.5	1	 1	 11648	1	30020	1
117.0	1	15	21	2	16.5	0	 2	 11433	1	30020	1
138.0	2	5	23	3	16.5	1	 NaN	 NaN	0	30020	1
159.0	2	15	24	3	16.5	1	 NaN	 NaN	0	30020	1
180.0	1	12	19	2	16.5	0	 2	 11361	1	30020	1
198.0	2	8	32	4	16.5	0	 2	 12495	1	30020	1
216.0	1	7	7	1	16.5	1	 1	 12447	1	30020	1
1.5	2	11	2	3	16.5	1	 1	 12373	1	30020	2
22.5	2	13	28	3	16.5	1	 1	 11627	1	30020	2
42.0	2	6	5	3	16.5	1	 1	 12452	1	30020	2
60.0	2	10	6	4	16.5	0	 2	 11373	1	30020	2
79.5	1	11	33	1	16.5	1	 NaN	 NaN	0	30020	2
99.0	1	9	27	2	16.5	0	 2	 11426	1	30020	2
120.0	1	17	9	1	16.5	1	 1	 12266	1	30020	2
138.0	2	12	34	3	16.5	1	 1	 13143	1	30020	2
156.0	1	3	30	1	16.5	1	 1	 11434	1	30020	2
175.5	2	18	17	4	16.5	0	 2	 12322	1	30020	2
196.5	1	14	18	2	16.5	0	 1	 12839	0	30020	2
214.5	2	7	31	4	16.5	0	 2	 11221	1	30020	2
1.5	1	16	11	1	16.5	1	 1	 11432	1	30020	3
22.5	1	5	20	2	16.5	0	 2	 12402	1	30020	3
43.5	1	18	14	2	16.5	0	 NaN	 NaN	0	30020	3
61.5	2	16	35	4	16.5	0	 1	 12517	0	30020	3
79.5	2	9	25	4	16.5	0	 2	 12493	1	30020	3
99.0	2	2	36	4	16.5	0	 1	 11296	0	30020	3
118.5	1	13	1	2	16.5	0	 2	 11366	1	30020	3
136.5	2	1	22	4	16.5	0	 2	 12065	1	30020	3
156.0	1	2	16	1	16.5	1	 2	 13212	0	30020	3
177.0	1	1	29	2	16.5	0	 2	 13042	1	30020	3
196.5	2	14	10	3	16.5	1	 1	 11211	1	30020	3
217.5	1	6	15	1	16.5	1	 1	 12402	1	30020	3
1.5	1	15	3	1	16.5	1	1	11115	1	30023	1
21.0	2	6	15	3	16.5	1	1	11061	1	30023	1
42.0	1	13	35	2	16.5	0	2	11087	1	30023	1
60.0	1	9	29	1	16.5	1	1	11301	1	30023	1
78.0	2	16	6	3	16.5	1	1	11287	1	30023	1
96.0	2	4	19	4	16.5	0	2	11158	1	30023	1
117.0	1	17	32	2	16.5	0	2	11081	1	30023	1
136.5	2	14	11	4	16.5	0	2	11090	1	30023	1
157.5	2	17	21	3	16.5	1	1	11465	1	30023	1
175.5	2	9	12	3	16.5	1	1	11112	1	30023	1
195.0	1	16	31	1	16.5	1	1	11142	1	30023	1
214.5	1	11	22	2	16.5	0	2	11008	1	30023	1
1.5	1	1	14	2	16.5	0	2	11013	1	30023	2
22.5	2	12	24	4	16.5	0	2	11097	1	30023	2
42.0	1	4	13	2	16.5	0	2	11147	1	30023	2
63.0	2	2	33	3	16.5	1	1	11173	1	30023	2
