trialNr	 pairType	 fsStimID	 objStimID	 targetPos	 resp	 RT	 isCorrect	subject	run
1	2	7	15	3	3	1830	1	30004	1
2	2	29	1	2	2	2284	1	30004	1
3	1	5	15	2	2	1332	1	30004	1
4	1	30	7	2	2	1127	1	30004	1
5	1	21	5	2	2	695	1	30004	1
6	1	2	4	1	1	1085	1	30004	1
7	1	32	12	2	2	700	1	30004	1
8	2	28	10	1	1	1556	1	30004	1
9	2	10	7	2	3	1377	0	30004	1
10	1	22	2	2	2	900	1	30004	1
11	2	27	9	1	1	1162	1	30004	1
12	1	31	17	2	2	833	1	30004	1
13	2	13	6	2	3	2001	0	30004	1
14	2	36	4	2	2	1554	1	30004	1
15	1	8	3	2	2	694	1	30004	1
16	1	11	8	3	3	1420	1	30004	1
17	1	14	16	1	1	956	1	30004	1
18	2	20	12	3	1	1514	0	30004	1
19	1	35	18	1	1	1166	1	30004	1
20	2	4	14	2	2	1499	1	30004	1
21	2	34	17	3	3	1602	1	30004	1
22	2	19	2	1	1	1574	1	30004	1
23	2	17	16	2	2	1706	1	30004	1
24	2	25	11	1	1	987	1	30004	1
25	1	6	9	3	3	1127	1	30004	1
26	1	23	13	3	3	1414	1	30004	1
27	2	9	5	2	2	933	1	30004	1
28	2	26	8	2	2	1368	1	30004	1
29	1	33	6	1	1	1116	1	30004	1
30	1	15	1	2	2	1357	1	30004	1
31	2	1	3	1	1	861	1	30004	1
32	2	18	18	3	3	1038	1	30004	1
33	2	3	13	3	3	1107	1	30004	1
34	1	16	11	3	3	1859	1	30004	1
35	1	24	14	2	2	704	1	30004	1
36	1	12	10	2	2	1052	1	30004	1
1	2	16	4	2	2	1894	1	30008	1
2	2	20	16	2	2	3421	1	30008	1
3	1	15	18	2	2	1249	1	30008	1
4	2	3	10	2	2	2656	1	30008	1
5	2	26	11	2	2	922	1	30008	1
6	1	14	9	2	2	1200	1	30008	1
7	2	34	6	1	1	2361	1	30008	1
8	2	35	2	1	1	1638	1	30008	1
9	1	23	15	1	1	3211	1	30008	1
10	2	18	1	1	1	2791	1	30008	1
11	1	29	10	3	3	1897	1	30008	1
12	2	31	14	2	2	1145	1	30008	1
